kde-cli-tools 5.26.4-1
kdecoration 5.26.4-1
kded 5.101.0-1
kde-gtk-config 5.26.4-1
kdelibs4support 5.101.0-1
kdenlive 22.12.0-2
kdeplasma-addons 5.26.4-1
kdesu 5.101.0-1
kdnssd 5.101.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
kemoticons 5.101.0-1
keyutils 1.6.3-1
kfilemetadata 5.101.0-1
kgamma5 5.26.4-1
kglobalaccel 5.101.0-1
kguiaddons 5.101.0-1
kholidays 1:5.101.0-1
khotkeys 5.26.4-1
ki18n 5.101.0-1
kiconthemes 5.101.0-1
kidletime 5.101.0-1
kimageannotator 0.6.0-1
kinfocenter 5.26.4-1
kio 5.101.0-1
kio-extras 22.12.0-1
kio-fuse 5.0.1-1
kirigami2 5.101.0-1
kitemmodels 5.101.0-1
kitemviews 5.101.0-1
kitty-terminfo 0.26.5-1
kjobwidgets 5.101.0-1
kmenuedit 5.26.4-1
kmod 30-3
knewstuff 5.101.0-1
knotifications 5.101.0-1
knotifyconfig 5.101.0-1
kodi 19.4-8
konsole 22.12.0-1
kpackage 5.101.0-1
kparts 5.101.0-1
kpeople 5.101.0-1
kpipewire 5.26.4-1
kpmcore 22.12.0-1
kpty 5.101.0-1
kquickcharts 5.101.0-1
krb5 1.20.1-1
krunner 5.101.0-1
kscreen 5.26.4-1
kscreenlocker 5.26.4-1
kservice 5.101.0-1
ksshaskpass 5.26.4-1
ksystemstats 5.26.4-1
ktexteditor 5.101.0-1
ktextwidgets 5.101.0-1
kunitconversion 5.101.0-1
kuserfeedback 1.2.0-1
kvantum 1.0.7-1
kvirc 5.0.0-7
kwallet 5.101.0-1
kwallet-pam 5.26.4-1
kwayland 5.101.0-1
kwayland-integration 5.26.4-1
kwidgetsaddons 5.101.0-1
kwin 5.26.4-1
kwindowsystem 5.101.0-1
kwrited 5.26.4-1
kxmlgui 5.101.0-1
ladspa 1.17-1
lame 3.100-4
lapack 3.11.0-1
layer-shell-qt 5.26.4-1
lbzip2 2.5-5
lcms2 2.14-1
ldb 2:2.6.1-1
ldns 1.8.3-2
lensfun 1:0.3.3-1
less 1:608-1
lftp 4.9.2-1
libabw 0.1.3-3
libaccounts-glib 1.26-1
libaccounts-qt 1.16-3
libadwaita 1:1.2.0-1
libaio 0.3.113-1
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r298-1
libarchive 3.6.2-2
libass 0.17.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-5
libatomic_ops 7.6.14-1
libavc1394 0.5.4-4
libavif 0.11.1-1
libavtp 0.2.0-1
libb2 0.98.1-2
libb64 1.2.1-4
libblockdev 2.28-1
libbluray 1.3.4-1
libbpf 1.0.1-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libburn 1.5.4-1
libbytesize 2.7-1
libcaca 0.99.beta20-1
libcacard 2.7.0-2
libcamera 0.0.3-1
libcanberra 1:0.30+r2+gc0620e4-2
libcap 2.66-1
libcap-ng 0.8.3-1
libcbor 0.9.0-1
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-5
libcec 6.0.2-3
libcloudproviders 0.3.1+r8+g3a229ee-1
libcolord 1.4.6-1
libcups 1:2.4.2-3
libdaemon 0.14-5
libdatrie 0.2.13-2
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.9-1
libdmtx 0.7.7-1
libdnet 1.16.1-1
libdrm 2.4.114-1
libdv 1.0.0-9
libdvbpsi 1:1.3.3-2
libdvdnav 6.1.1-1
libdvdread 6.1.3-1
libebml 1.4.4-1
libe-book 0.1.3-13
libebur128 1.2.6-1
libedit 20210910_3.1-2
libelf 0.188-1
libepoxy 1.5.10-1
libepubgen 0.1.1-4
libetonyek 0.1.10-2
libevdev 1.13.0-1
libevent 2.1.12-4
libexif 0.6.24-1
libexttextcat 3.4.6-1
libfdk-aac 2.0.2-1
libffi 3.4.4-1
libfido2 1.12.0-4
libfilezilla 1:0.40.0-1
libfontenc 1.1.7-1
libfreeaptx 0.1.1-1
libfreehand 0.1.2-4
libftdi 1.5-4
libgcrypt 1.10.1-2
libgdata 0.18.1-2
libgee 0.20.6-1
libgexiv2 0.14.0-3
libgit2 1:1.5.0-2
libglvnd 1.6.0-1
libgme 0.6.3-1
libgpg-error 1.46-2
libgphoto2 2.5.30-1
libgpod 0.8.3-13
libgtop 2.40.0+2+g31db82ef-2
libgudev 237-2
libgusb 0.4.3-1
libhandy 1.8.0-1
libheif 1.14.0-1
libibus 1.5.27-1
libical 3.0.16-4
libice 1.1.1-1
libid3tag 0.15.1b-11
libidn 1.41-1
libidn2 2.3.4-3
libiec61883 1.2.0-7
libimagequant 4.0.4-1
libimobiledevice 1.3.0-5
libindicator-gtk3 12.10.1-10
libinih 56-1
libinput 1.22.0-1
libinstpatch 1.1.6-1
libiscsi 1.19.0-2
libisl 0.25-1
libisoburn 1.5.4-2
libisofs 1.5.4-1
libixion 0.17.0-3
libjcat 0.1.12-1
libjpeg-turbo 2.1.4-2
libjxl 0.7.0-3
libkate 0.4.1-8
libkcddb 22.12.0-1
libkexiv2 22.12.0-1
libkeybinder3 0.3.2-4
libksba 1.6.2-1
libkscreen 5.26.4-1
libksysguard 5.26.4-1
liblangtag 0.6.4-1
liblastfm-qt5 1.1.0-1
libldac 2.0.2.3-1
libldap 2.6.3-2
liblouis 3.24.0-1
liblqr 0.4.2-3
liblrdf 0.6.1-4
libltc 1.3.2-1
libmad 0.15.1b-9
libmanette 0.2.6-3
libmatroska 1.7.1-1
libmaxminddb 1.7.1-1
libmbim 1.28.2-1
libmd 1.0.4-1
libmediainfo 22.12-1
libmfx 22.6.4-1
libmicrodns 0.2.0-1
libmicrohttpd 0.9.75-1
libmikmod 3.3.11.1-6
libmm-glib 1.20.2-1
libmms 0.6.4-3
libmng 2.0.3-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-4
libmpc 1.3.1-1
libmpcdec 1:0.1+r475-3
libmpdclient 2.20-2
libmpeg2 0.5.1-7
libmspack 1:0.10.1alpha-4
libmspub 0.1.4-13
libmtp 1.1.20-1
libmusicbrainz5 5.1.0-5
libmwaw 0.3.21-3
libmygpo-qt5 1.1.0-3
libmypaint 1.6.1-1
libnatpmp 20150609-3
libndp 1.8-1
