0ad 0.0.26_alpha
libtcd 2.2.7_p3
libteam 1.31
libtecla 1.6.3
libtelnet 0.23
libtermcap-compat 2.0.8
libtermkey 0.22
libtgvoip 2.4.4_p20221208
libtheora 1.1.1
libthreadar 1.4.0
libticables2 1.3.5
libticalcs2 1.1.9
libticonv 1.1.5
libtifiles2 1.1.7
libtiger 0.3.4
libtimezonemap 0.4.6
libtimidity 0.2.7
libtinynotify 0.2.1
libtinynotify-cli 1.2.1
libtinynotify-systemwide 0.1
libtirpc 1.3.3
libtmux 0.21.0
libtomcrypt 1.18.2
libtomfloat 0.02
libtommath 1.2.0
libtompoly 0.04
libtool 2.4.7
libtorrent 0.13.8
libtorrent-rasterbar 2.0.8
libtpms 0.9.6
libtrace 4.0.20
libtraceevent 1.7.1
libtracefs 1.6.4
libtreadstone 0.2.0
libtree 3.1.1
libtsm 4.0.2
libtubo 5.0.15
libu2f-host 1.1.10
libu2f-server 1.1.0
libucl 0.8.1
libucontext 1.2
libudev 232
libudev-compat 186
libudfread 1.1.2
libuev 2.4.0
libugpio 0.0.7
libunibreak 5.0
libuninameslist 20221022
libuninum 2.7
libunique 3.0.2
libunistring 1.1
libunwind 1.6.2
libupnp 1.14.17
libupnpp 0.22.5
liburing 2.3
libusb 0.6.4
libusb 1
libusb 1.0.26
libusb-compat 0.1.8
libusb3380 0.0_p20190125
libusbhp 1.0.2
libusbmuxd 2.0.2
libutempter 1.2.1
libutf8proc 2.8.0
libuuid 1.0.3
libuv 1.44.2
libuvc 0.0.6
libv4l 1.24.1
libva 2.18.0
libva-compat 1.8.3
libva-intel-driver 2.4.1
libva-intel-media-driver 23.2.1
libva-utils 2.18.2
libvarlink 23
libvdpau 1.5
libverto 0.3.2
libvformat 1.13
libvirt 9.3.0
libvirt-glib 4.0.0
libvirt-php 0.5.7
libvirt-python 9.3.0
libvirt-snmp 0.0.4
libvisio 0.1.7
libvisual 0.4.2
libvisual-plugins 0.4.2
libvisual-projectm 2.1.1
libvmaf 2.3.0
libvncserver 0.9.14
libvoikko 4.3.2
libvorbis 1.3.7
libvpd 2.2.9
libvpx 1.12.0
libvterm 0.3.1
libwacom 2.6.0
libwapcaplet 0.4.3
libwbxml 0.11.8
libwebp 1.2.4
libwebsockets 4.3.2
libwmf 0.2.13
libwnck 43.0
libwpd 0.10.3
libwpe 1.14.1
libwpg 0.3.4
libwps 0.4.13
libwww-perl 6.600.0
libX11 1.8.4
libx86 1.1
libx86emu 1.1
libXau 1.0.11
libXaw 1.0.15
libXaw3d 1.6.4
libXaw3dXft 1.6.2h
libxc 5.1.7
libxcb 1.15
libXcomposite 0.4.6
libxcrypt 4.4.33
libXcursor 1.2.1
libxcvt 0.1.2
libXdamage 1.1.6
libxdg-basedir 1.2.3
libxdiff 0.23
libXdmcp 1.1.4
libXext 1.3.5
libxfce4ui 4.19.1
libxfce4util 4.19.1
libxfce4windowing 4.19.1
libXfixes 6.0.1
libXfont2 2.0.6
libXft 2.3.8
libXi 1.8.1
libXinerama 1.1.5
libxkbcommon 1.5.0
libxkbfile 1.1.2
libxklavier 5.4
libxls 1.6.2
libxlsxwriter 1.1.5
libxmi 1.3
libxml-perl 0.80.0
libxml2 2.11.2
libxmlb 0.3.11
libxmlpatch 0.3.3
libxmlpp 5.0.3
libxmp 4.5.0
libXmu 1.1.4
libXpm 3.5.16
libXpresent 1.0.1
libXrandr 1.5.3
libXrender 0.9.11
libXres 1.2.2
libXScrnSaver 1.2.4
libxshmfence 1.3.2
libxslt 1.1.37
libxspf 1.2.1
libXt 1.3.0
libxtract 0.6.6
libxtrx 0.0_p20201202
libxtrxdsp 0.0_p20200830
libxtrxll 0.0_p20201202
libXtst 1.2.4
libXv 1.0.12
libXvMC 1.0.13
libXxf86dga 1.1.6
libXxf86vm 1.1.5
libyaml 0.1.2
libyaml 0.2.5
libyang 2.1.55
libydpdict 1.0.4
libyubikey 1.13
libzbc 5.13.0
libzbd 1.2.0
libzdb 3.2.3
libzen 0.4.41
libzia 4.43
libzip 1.9.2
libzmf 0.0.2
license-expression 30.1.0
licenseclassifier 0_pre20200402
liferea 1.14.5
lift-type 0.1.0.1
lifted-async 0.10.2
lifted-base 0.2.3.12
light 1.2.2
light-locker 1.9.0
light-themes 20.10
lightdm 1.32.0
lightdm-gtk-greeter 2.0.8
lightdm-mini-greeter 0.5.1
lightline 0_pre20221005
lightsoff 40.0.1
lightspark 0.8.6.1
lighttpd 1.4.69
likwid 5.2.1
lilac 1.0.3
lilo 24.2
lilv 0.24.20
lilypond 2.24.0
limesuite 20.10.0
limnoria 20221116
limnoria-plugins-chantracker 1.6_p20221109
limnoria-plugins-jlu5 20220201_p20221108
limnoria-plugins-progval 20221113
linbox 1.6.3
lincity 1.13.1
lincity-ng 2.9_beta
line_profiler 4.0.3
lineak-defaultplugin 0.9.0
lineak-xosdplugin 0.9.0
lineakd 0.9.0
lingot 1.1.1
Lingua-EN-Inflect 1.905.0
Lingua-EN-NameCase 1.210.0
Lingua-EN-NameParse 1.380.0
Lingua-EN-Numbers-Ordinate 1.50.0
Lingua-Preferred 0.2.4
Lingua-PT-Stemmer 0.20.0
Lingua-Stem 2.310.0
Lingua-Stem-Fr 0.20.0
Lingua-Stem-It 0.20.0
Lingua-Stem-Ru 0.40.0
Lingua-Stem-Snowball-Da 1.10.0
Lingua-Translit 0.280.0
linguist 5.15.9
linguist-tools 5.15.9
link-grammar 5.12.3
linkchecker 10.2.1
linkers-and-loaders 1
linkify-it-py 2.0.2
linklint 2.3.5
links 2.29
linksys-tftp 1.2.1
linssid 3.6
linux-atm 2.5.2
Linux-DesktopFiles 0.250.0
linux-device-drivers 3
Linux-Distribution 0.230.0
linux-docs 5.15.105
linux-eoip 0.5
linux-firmware 20230404
linux-gpib 4.3.5
linux-gpib-modules 4.3.5
linux-headers 6.3
Linux-Inotify2 2.300.0
linux-kernel-in-a-nutshell 1
linux-logo 6.01
linux-misc-apps 5.8
Linux-Pid 0.40.0
Linux-PipeMagic 0.30.0
linux-show-player 0.5.3
Linux-Smaps 0.140.0
linux-sources 3
linux-syscall-support 2021.05.03
linux-wbfs-manager 0.1.12
linuxdoc-tools 0.9.82
linuxfromscratch 11.0
linuxptp 3.1.1
linuxsampler 2.2.0
linuxspa 0.7.1
linuxtv-dvb-apps 1.1.1.20140321
linuxtv-dvb-headers 5.8
liquid 5.4.0
liquid_feedback_core 3.2.2
liquid_feedback_frontend 3.2.1
liquid-c 4.1.0
liquid-dsp 1.3.2
liquidctl 1.12.1
liquidprompt 2.1.2
liquidwar 5.6.5
lirc 0.10.2
Lirc-Client 2.20.0
lis 1.6.5
lisaac 0.13.1
List-AllUtils 0.190.0
List-MoreUtils 0.430.0
List-MoreUtils-XS 0.430.0
list-remote-forwards 0.0.3
List-SomeUtils 0.580.0
List-SomeUtils-XS 0.580.0
List-UtilsBy 0.110.0
listen 3.8.0
listres 1.0.5
lit 17.0.0_pre20230502
litecoind 0.18.1
litestream 1.3_rc3
litmus 0.13
little-inferno 20130509
little-plugger 1.1.4
littleutils 0.2.2
live 2021.08.24
livecd-tools 2.10
liveice 2000530
livereload 2.6.3
lklug 0.6
lkrg 0.9.6
lksctp-tools 1.0.19
lld 17.0.0_pre20230502
lld-toolchain-symlinks 17
lldb 17.0.0_pre20230502
lldpd 1.0.16
lletters 0.1.95
llfuse 1.4.2
llgal 0.13.19
llhttp-ffi 0.5.0
llpp 33
lltag 0.14.6
llvm 17.0.0_pre20230502
llvm-common 17.0.0_pre20230502
llvm-libunwind 17.0.0_pre20230502
llvm-ocaml 17.0.0_pre20230502
llvm-toolchain-symlinks 17
llvmgold 17
lm-sensors 3.6.0
lmarbles 1.0.8
lmax-disruptor 3.4.4
lmdb 0.9.30
lmdb 1.4.1
lmdb++ 1.0.0
lmfit 1.2.1
lmfit 9.0
lmms 1.2.2
lmod 8.7.23
lnav 0.11.1
lndir 1.0.4
lnxhc 1.2
load-relative 1.3.2
local-lib 2.0.28
local-log4j-vuln-scanner 0.10
locale 1.30
locale 2.1.3
Locale-Codes 3.680.0
Locale-gettext 1.70.0
Locale-Maketext-Fuzzy 0.110.0
Locale-Maketext-Lexicon 1.0.0
Locale-Msgfmt 0.150.0
Locale-PO 0.270.0
localhost 1.1.10
localshell 1.3.4
locateopen 1.3
lockdev 1.0.3.1.2
locket 1.0.0
lockfile 0.12.2
lockfile 2.1.3
lockfile-progs 0.1.17
LockFile-Simple 0.208.0
lockrun 20120508
Log-Agent 1.5.0
Log-Any 1.710.0
Log-Dispatch 2.700.0
Log-Dispatch-Array 1.3.0
Log-Dispatchouli 2.23.0
Log-Log4perl 1.540.0
Log-Message 0.80.0
Log-Message-Simple 0.100.0
Log-Report 1.330.0
Log-Report-Optional 1.70.0
log-toolkit 0.9.6
Log-TraceMessages 1.400.0
log4cplus 2.0.7
log4cpp 1.1.3
log4cxx 1.0.0
log4j-12-api 2.19.0
log4j-api 2.19.0
log4j-core 2.19.0
log4j-over-slf4j 2.0.3
log4r 1.1.10
log4sh 1.4.2
log4shelldetect 0.0.7
logback-classic 1.4.1
logback-core 1.4.1
logbook 1.5.3
logfury 1.0.1
logger 0
logging-facade 0.3.0
logical-unification 0.4.6
logict 0.7.0.3
logiops 0.3.1
logmein-hamachi 2.1.0.203
logmerge 0.5.2b
logmon 0.4.4
logrotate 3.21.0
logs 0.7.0
logsentry 1.1.1
logstalgia 1.1.2
logstash-bin 7.17.9
logsurfer+ 1.8
logswan 2.1.14
logtalk 3.47.0
loguru 0.7.0
logutils 0.3.5
logwatch 7.8
lohit-assamese 2.91.5
lohit-bengali 2.91.5
lohit-devanagari 2.95.4
lohit-fonts 2.20150220
lohit-gujarati 2.92.4
lohit-gurmukhi 2.91.2
lohit-kannada 2.5.4
lohit-malayalam 2.92.2
lohit-marathi 2.94.2
lohit-nepali 2.94.2
lohit-odia 2.91.2
lohit-tamil 2.91.3
lohit-tamil-classical 2.5.4
lohit-telugu 2.5.5
lokalize 23.04.0
loki_patch 20091105
loksh 7.1
loky 3.4.0
lolcat 100.0.1
lollypop 1.4.37
longrun 0.9
loofah 2.20.0
lookup 1.17
lookup 1.99.96_pre20180209
loop-aes 3.8a
loop-aes-losetup 2.35.2
looptools 2.15
looseversion 1.1.2
loquacious 1.9.1
lorcon 2020.06.06_p20220216
loudmouth 1.5.4
love 11.4
lovelock-backgrounds 14.91.1.1
lowdown 1.0.1
lpairs 1.0.5
lpc21isp 1.97
lpe 1.2.8_p20210401
lpeg 1.0.2
lpeg 1.0.3
lpsolve 5.5.2.11
lrcalc 2.1
lrslib 071b
lrzip 0.651
lrzsz 0.12.20
lsadb 0.1.3
lsb-release 3.2
lsd 0.23.1
lsdvd 0.17
lshw 02.19.2b_p20220831
lsiutil 1.62
lskat 23.04.0
lsof 4.98.0
lsp-java 3.1
lsp-mode 8.0.0_p20220620
lsp-plugins 1.2.6
lsp-treemacs 0.4
lsp-ui 8.0.1
lssbus 0.1
lsscsi 0.32
lsuio 0.2.0
lsvpd 1.7.14
lsw 0.3
lsx 0.1
lsyncd 2.2.3
ltrace 0.7.91_pre20221216
ltris 1.0.19
lttng-modules 2.13.7
lttng-tools 2.13.8
lttng-ust 2.13.5
lttoolbox 3.7.1
ltunify 0.2
lua 2.2.0
lua 5.4.4
lua_cliargs 3.0_p2
lua-arbitrary 1.0.1
lua-argparse 0.7.1
lua-bit32 5.3.5.1
lua-cjson 2.1.0.10
lua-mode 20210802
lua-openssl 0.8.2_p1
lua-term 0.7
lua-unbound 1.0.0
lua-utf8 0.1.5
lua-zlib 1.2
LuaBitOp 1.0.2
luacheck 1.1.0
luacov 0.15.0
luadbi 0.7.2
luaevent 0.4.6
luaexpat 1.5.1
luafilesystem 1.8.0
luajit 2.1.0_beta3_p20220613
luajson 1.3.4
luakit 2.3.3
lualdap 1.3.1
luaossl 20220711
luaposix 36.1
luarocks 3.9.2
luasec 1.3.1
luasocket 3.1.0
luassert 1.9.0
luasystem 0.2.1_p0
lucene 2.4.1
lucene++ 3.0.7
lucidlife 0.9.2
luckybackup 0.5.0
luerl 0.3
lufis 0.3
lufs 0.9.7
lugaru 1.2
luise 0.1.1
luit 20230201
lukko 0.1.1.3
lumberjack 1.2.8
lumina 1.6.2
luminance-hdr 2.6.1.1
lunzip 1.13
luola 1.3.2
lurch 0.7.0
lure 1.1
lustyexplorer 5.0
lutelwall 0.99
lutok 0.4
lutris 0.5.13_beta2
luv 0.5.11
luv 1.44.2.0
luvcview 0.2.6
lv 0.15.0
lv 4.51
lv2 1.18.10
lvm2 2.03.21
lvtk 1.2.0
lwm 1.2.4
lwp 2.8
LWP-Authen-Wsse 0.50.0
LWP-MediaTypes 6.40.0
LWP-Online 1.80.0
LWP-Protocol-http10 6.30.0
LWP-Protocol-https 6.100.0
LWP-UserAgent-Cached 0.80.0
LWP-UserAgent-Determined 1.70.0
LWPx-ParanoidAgent 1.120.0
lwt 5.6.1
lwt_log 1.1.2
lwt_ssl 1.1.3
lxappearance 0.6.3
lxappearance-obconf 0.2.3
lxc 5.0.2
lxc-templates 3.0.4
lxcfs 5.0.3
lxd 5.0.2
lxde-common 0.99.2
lxde-icon-theme 0.5.1
lxde-meta 0.5.5
lxdm 0.5.3
lxdream 0.9.1
lxdvdrip 1.77
lxgw-wenkai 1.300
lximage-qt 1.3.0
lxinput 0.3.5
lxlauncher 0.2.5
lxmenu-data 0.1.5
lxml 4.9.2
lxmusic 0.4.7
lxpanel 0.10.1
lxqt-about 1.3.0
lxqt-admin 1.3.0
lxqt-archiver 0.8.0
lxqt-build-tools 0.13.0
lxqt-config 1.3.0
lxqt-globalkeys 1.3.0
lxqt-meta 1.3.0
lxqt-notificationd 1.3.0
lxqt-openssh-askpass 1.3.0
lxqt-panel 1.3.0
lxqt-policykit 1.3.0
lxqt-powermanagement 1.3.0
lxqt-qtplugin 1.3.0
lxqt-runner 1.3.0
lxqt-session 1.3.0
lxqt-sudo 1.3.0
lxqt-themes 1.3.0
lxrandr 0.3.2
lxsession 0.5.5
lxsplit 0.2.4
lxtask 0.1.10
lxterminal 0.4.0
lynis 3.0.8
lynx 2.9.0_pre12
lyricwikia 0.1.11
lyskom-elisp-client 0.48_p20200226
lyx 2.3.6.1
lz4 1.9.4
lz4 4.3.2
lz4-java 1.8.0
lz5 2.0
lzip 1.23
lziprecover 1.23
lzlib 1.13
lzma 19.00
lzma 22.01
lzmajio 0.95
lzo 2.10
lzop 1.04
m-buffer 0.15
m17n-db 1.8.0
m17n-lib 1.8.0
m2crypto 0.38.0
m2vrequantizer 0.0.2_pre20060306
m4 1.4.19
m4ri 20200125
m4rie 20200115
m64py 0.2.5_p20211222
mab 0.0.3
mac 4.11.4.5.7
mac-fdisk 0.1_p18
mac-robber 1.02
macchanger 1.7.0_p5_p4
macopix 3.4.0
macrostep 0.9.1
macrostep-geiser 0.2.0_p20210717
madplay 0.15.2b
madwimax 0.1.1
maelstrom 3.0.6
mafft 7.490
mage 1.13.0
magic 0.2.9
magic 1.1
magic 8.3.365
magic_enum 0.8.2
magiccube4d 2.2
magicpoint 1.13a_p20121015
magicrescue 1.1.10
magit 3.3.0
magit-popup 2.13.3
mah-jong 1.16
mail 2.8.1
Mail-Audit 2.228.0
Mail-AuthenticationResults 2.202.301.120
Mail-Box 3.9.0
Mail-Box-IMAP4 3.7.0
Mail-Box-POP3 3.5.0
Mail-Builder 2.130.0
Mail-Builder-Simple 0.160.0
Mail-DKIM 1.202.302.120
Mail-DMARC 1.202.302.150
Mail-DomainKeys 1.0.0
Mail-IMAPClient 3.430.0
mail-lib 1.85
Mail-ListDetector 1.40.0
Mail-Mbox-MessageParser 1.511.100
Mail-Message 3.12.0
Mail-POP3Client 2.190.0
Mail-Procmail 1.80.0
Mail-Sender 0.903.0
Mail-Sendmail 0.800.0
Mail-SPF 2.9.0
Mail-SRS 0.310.0
Mail-Transport 3.5.0
mailbase 1.8.1
mailbox-count 0.0.6
mailcommon 23.04.0
mailcrypt 2.16
mailcrypt 3.5.9
maildir 2.2.3
maildrop 3.1.4
mailfilter 0.8.9
mailfront 2.22
mailgraph 1.14
mailimporter 23.04.0
MailScanner 4.84.5.2
mailshears 0.0.5
MailTools 2.210.0
mailutils 3.16
mailx 4
mailx 8.1.2.20180807
mailx-support 20060102
maim 5.7.4
mairix 0.24
maitretarot 0.1.98
majesty-demo 1.0.0
make 4.4.1
makebootfat 1.4
makedepend 1.0.8
makedev 3.23.1
makefun 1.15.1
makeheaders 0_p20220411
makemkv 1.17.3
makepasswd 1.10
makepp 2.0.99.2
makeself 2.5.0
mako 1.2.4
mako 1.7.1
maloc 1.5
mamba 0.11.2
mamory 0.2.25
man 0
man-db 2.11.2
man-pages 6.04
man-pages-ja 20180315
man-pages-l10n 4.18.1
man-pages-posix 2017a
man-pages-ru 5.03.2390.2390.20191017
man-pages-zh_CN 1.6.4.0
man2html 1.6g
manaplus 1.9.3.23
mandelbulber 2.28
mando 0.7.1
mandoc 1.14.6
mangler 1.2.5
manpager 1
manuel 1.12.4
mapbox_earcut 1.0.1
mapbox-vector-tile 2.0.1
mapserver 8.0.0
mapson 3.3.1
maq 0.7.1
maqview 0.2.5
maradns 3.5.0022
marble 23.04.0
MARC-Charset 1.350.0
MARC-File-XML 1.0.5
MARC-Record 2.0.7
marcel 1.0.2
marco 1.26.1
marginalia 1.2
mariadb 10.11.2
mariadb-connector-c 3.3.4
mariadb-connector-odbc 3.1.14
marisa 0.2.6
markdown 23.0.0
markdown 3.4.3
markdown-it-py 2.2.0
markdown-mode 2.5
markdown-unlit 0.5.0
markdown2 2.4.8
markdownpart 23.04.0
markup 1.0.3
markups 4.0.0
markupsafe 2.1.2
marshmallow 3.19.0
maruku 0.7.3
mash 0.1.1
masscan 1.3.2
massif-visualizer 0.7.0
master-pdf-editor 5.9.40
mastergear-bin 4.9
mastodon 1.0.0
matchbox-keyboard 0.1
mate 1.26.0
mate-applets 1.26.1
mate-applets-meta 1.26.0
mate-backgrounds 1.26.0
mate-calc 1.26.0
mate-common 1.26.0
mate-control-center 1.26.0
mate-desktop 1.26.0
mate-icon-theme 1.26.0
mate-icon-theme-faenza 1.20.0
mate-indicator-applet 1.26.0
mate-media 1.26.0
mate-menus 1.26.0
mate-netbook 1.26.0
mate-notification-daemon 1.26.0
mate-panel 1.26.2
mate-polkit 1.26.0
mate-power-manager 1.26.0
mate-screensaver 1.26.1
mate-sensors-applet 1.26.0
mate-session-manager 1.26.0
mate-settings-daemon 1.26.0
mate-system-monitor 1.26.0
mate-terminal 1.26.0
mate-themes 3.22.23
mate-user-guide 1.26.0
mate-user-share 1.26.0
mate-utils 1.26.0
Math-Base-Convert 0.110.0
Math-Base36 0.140.0
Math-Bezier 0.10.0
Math-BigInt-GMP 1.600.700
Math-BigInt-Lite 0.190.0
Math-Calc-Units 1.70.0
Math-CDF 0.100.0
Math-Derivative 1.10.0
Math-Factor-XS 0.400.0
Math-FFT 1.360.0
math-functions 0.3.3.0
Math-GMP 2.250.0
Math-Int64 0.540.0
Math-Libm 1.0.0
Math-ModInt 0.13.0
Math-NumberCruncher 5.0.0
Math-NumSeq 75.0.0
Math-Pari 2.10.809.0
Math-PlanePath 129.0.0
Math-Prime-XS 0.270.0
Math-Random 0.720.0
Math-Random-ISAAC 1.4.0
Math-Random-ISAAC-XS 1.4.0
Math-Random-MT 1.170.0
Math-Random-Secure 0.80.1
Math-Round 0.70.0
Math-Spline 0.20.0
math-symbol-lists 1.3
Math-Utils 1.140.0
Math-Vec 1.10.0
Math-VecStat 0.80.0
mathematica 13.2.1
mathgl 2.4.4
mathjax 2.7.7
mathjax-docs 2.7.7
mathlib-tools 1.3.2_p1
mathmod 4.1
mathomatic 16.0.5
mathtex 1.05
matio 1.5.23
matlab 3.3.6_pre20191010
matplotlib 3.7.1
matplotlib-inline 0.1.6
matrix 0.4.2
matrix 1.10
matrix-common 1.3.0
matroxset 0.4
matterhook 0.2
mattermost-desktop-bin 5.3.1
maturin 0.15.1
matwm2 0.1.2_pre3
maude 3.1
maven-bin 3.9.1
mavlink_c 20220518
mawk 1.3.4_p20230404
maxcso 1.13.0
maxima 5.46.0
maxitest 4.4.1
MaxMind-DB-Common 0.40.1
MaxMind-DB-Reader 1.0.14
maxmind-db-reader 1.11.0
MaxMind-DB-Reader-XS 1.0.9
maxr 0.2.9
maybe 0.20.200
mbedtls 3.2.1
mbox-importer 23.04.0
mboxgrep 0.7.9
mbpfan 2.2.1
mbr 1.1.11
mbrola 3.3
mbrola-voices 0_pre20200331
mbrowse 0.4.3
mbuffer 20230301
mc 1.5
mc 2021.03.23.05.46.11
mc 4.8.29
mc2bsbh 0.0.9
mcabber 1.1.2
mccabe 0.7.0
mccs 1.1.14
mcdp 0.4b
MCE 1.874.0
mcelog 194
mcfly 0.5.13
mchange-commons 0.2.20
mcl 14.137
mcollective 2.12.5
mcomix 2.1.0
mcp-plugins 0.4.0
mcproxy 1.1.1
mcrcon 0.7.2
mcrypt 2.6.8
mcstrans 3.5
mcu8051ide 1.4.10
md4sum 0.02.03
md5 1.3
MD5 2.30.0
md5deep 4.4
md6sum 1.0
mda 0
mda-lv2 1.2.10
mdadm 4.2
MDAnalysis 2.4.3
mdbook 0.4.28
mdbtools 1.0.0
mdds 2.0.3
mdit-py-plugins 0.3.5
mdk 3.6
mdns 1.4.2
mdns-repeater 1.11
mdns-scan 0.5
mdtraj 1.9.7
mdurl 0.1.2
mdx_gh_links 0.3
meandmyshadow 0.5a
meanwhile 1.0.2
mecab 0.996
mecab-ipadic 2.7.0.20070801
mecab-naist-jdic 0.6.3b_p20111013
mecab-perl 0.996
mecab-python 0.996
mecab-ruby 0.996
mecab-skkserv 0.03
mecab-unidic 2.1.2
MechanicalSoup 1.2.0
mechanize 0.4.8
mechanize 2.9.1
meck 0.8.13
med 4.1.1
media-player-info 24
mediafile 0.11.0
mediainfo 23.03
mediator_lua 1.1.2_p0
mediawiki 1.39.3
mediawiki 2.3.1
mediawiki 20151115
MediaWiki-API 0.520.0
mednafen 1.29.0
mednafen-jg 1.31.0
mednafen-server 0.5.2
mednaffe 0.9.2
megacli 8.07.14
megactl 0.4.1
megaglest 3.13.0
megaglest-data 3.13.0
megamek 0.34.10
megamgr 5.20
megarc 1.11
megatools 1.11.1
mei-amt-check 0_p20170515
mekanix 070
meld 3.22.0
melonds 0.9.5
melonds-jg 0.9.5
memcached 1.6.19
memcached_exporter 0.10.0
memdump 1.01
memo_wise 1.7.0
memoist 0.16.2
memoizable 0.4.2
memoize 1.3.1
memonix 1.6
memory 0.15.0
memory_profiler 0.61
memoryfilesystem 2.3.0
memprof 0.6.2
memtest86 4.3.7
memtest86-bin 10.4
memtest86+ 6.10
memtester 4.6.0
memwatch 0.3.3
mencal 3.0
menhir 20220210
menu-cache 1.1.0
menulibre 2.2.3
menumaker 0.99.14
mepl 0.45
mercenary 0.4.0
mercurial 6.4
mercury 22.01.1
mercury-extras 22.01.1
merge-usr 6
mergedeep 1.3.4
mergedict 1.0.0
mergelog 4.5
mergerfs 2.35.1
mergerfs-tools 0_p20210502
merginal 2.1.2
merkaartor 0.19.0
merlin 4.7
merlin-extend 0.6.1
mersennetwister 0_pre23765
mesa 23.0.3
mesa-amber 21.3.9
mesa-progs 8.5.0
meshio 5.3.4
meshlab 2020.12
meson 1.1.0
meson-format-array 0
meson-mode 0.3
meson-python 0.13.1
mess822 0.58
messagelib 23.04.0
messagepack 0.5.2_p20201025
metacity 3.46.1
metaclass 0.0.4
metadata-minifier 1.0.0
metagen 0.7.3
metainf-services 1.9
metakernel 0.29.4
metalog 20220214
metamath 0.198
metamath-databases 20220303
metamath-mode 0_p20221005
metapixel 1.0.2
metasm 1.0.5
metee 3.1.5
meteo 0.9.9.1
meterbridge 0.9.3
methane 2.0.1
method_source 1.0.0
metis 5.2.1
metslib 0.5.3
mew 0.1.0
mew 1.22
mew 6.8_p20230203
mew_vi 0.5.0
mfoc 0.10.7
mg 20230501
mgba 0.10.2
mgba-jg 0.10.2
mgetty 1.2.1
mgm 1.2
mgopen 1.1
mgorny-dev-scripts 38
mh-e 1.35
mhash 0.9.9.9
mhddfs 0.1.39
mhonarc 2.6.19
mhonarc-gentoo 2.6.18
mhwaveedit 1.4.24
mic-paren 3.15
micawber 0.5.4
mico 2.3.13
micro 2.0.10
microlens 0.4.11.2
microlens-aeson 2.5.0
microlens-mtl 0.2.0.1
microlens-th 0.4.3.10
micropolis 1.0_p20180313
micropython 1.17
microsocks 1.0.2
microsoft-edge 113.0.1774.35
microsoft-edge-beta 113.0.1774.35
microsoft-edge-dev 114.0.1823.7
microstache 1.0.2
middleware 0.1.0
midentd 2.3.1
midisport-firmware 1.2
mido 1.2.10
migemo-dict 200812
miglayout 5.3
mikachan-font-otf 9.1
mikachan-font-ttc 9.1
mikachan-font-ttf 8.9
mikmod 3.2.8
mikutter 5.0.4
milkytracker 1.03.00
mill-bin 0.10.12
miller 5.10.2
milo 2.4.18
milou 5.27.4
milter-regex 2.7
mimalloc 2.1.2
MIME-Base32 1.303.0
MIME-Charset 1.13.1
mime-construct 1.1100.0
MIME-EncWords 1.14.3
MIME-Lite 3.33.0
MIME-Lite-HTML 1.240.0
MIME-tools 5.510.0
mime-types 0.1.0.9
mime-types 2.1.53
MIME-Types 2.240.0
mime-types 3.4.1
mime-types-data 3.2023.0218.1
mimedefang 3.1
mimemagic 0.4.3
mimerender 0.6.0
mimetic 0.9.8
min-cscope 16.1.0
mine 1.18
minecraft-launcher 1.0.1221
minecraft-server 1.19.4
minetest 5.7.0
mingetty 1.08
mingw64-runtime 11.0.0
mingw64-toolchain 11.0.0
mini_magick 4.12.0
mini_mime 1.1.2
mini_portile2 2.8.2
miniaudio 0.11.11
minibufexpl 6.5.2
minicom 2.8
minicoredumper 2.0.2
minidb 2.0.7
minidlna 1.3.2
miniflux 2.0.43
minijail 17
minikanren 1.0.3
minikube 1.30.1
minimock 1.3.0
minisat 2.2.1
minised 1.16
minisign 0.11
minispec-metadata 3.3.1
minissdpd 1.6.0
minit 0.10
minitar 0.9
minitest 5.18.0
minitest-around 0.5.0
minitest-bonus-assertions 3.0
minitest-global_expectations 1.0.1
minitest-hooks 1.5.0
minitest-power_assert 0.3.1
minitest-pretty_diff 0.1
miniupnpc 2.2.4
miniupnpd 2.3.3
miniz 3.0.1
minizip-ng 3.0.10
minted 2.6
minuet 23.04.0
minuit 5.34.14
miopen 5.1.3
mips-sources 5.4.234
mirage-clock 4.2.0
mirage2iso 0.4.2
mirdir 2.1
mirmon 2.11
mirrormagic 2.0.2
mirrorselect 2.3.0
misaka 2.1.1
misc-games 1.25
miscfiles 1.5
missfits 2.8.0
missile 1.0.1
missingh 1.4.3.0
mistune 2.0.5
mit-krb5 1.20.1
mit-krb5-appl 1.0.3
mit-scheme 12.1
mitmproxy 9.0.1
mitmproxy_wireguard 0.1.20
mix-mplus-ipa 20130617
mixer_app 1.8.0
Mixin-Linewise 0.110.0
mixlib-shellout 3.0.9
mixxx 2.3.4
mjpegtools 2.2.1
mjpg-streamer 0_pre20200524
mkautodoc 0.2.0
mkbold-mkitalic 0.11
mkcdtoc 1.0
mkcert 1.4.4
mkclean 0.8.10
mkdocs 1.4.3
mkdocs-bootstrap 1.1
mkdocs-bootswatch 1.1
mkdocs-git-authors-plugin 0.7.0
mkdocs-git-revision-date-localized-plugin 1.2.0
mkdocs-i18n 0.4.5
mkdocs-material 9.1.9
mkdocs-material-extensions 1.1.1
mkdocs-minify-plugin 0.6.4
mkdocs-pymdownx-material-extras 2.4.3
mkdocs-redirects 1.2.0
mkfontscale 1.2.2
mkgallery 1.1
mkl 2023.0.0.25398
mknfonts 0.5
mkosi 14_p20230313
mkp224o 1.6.1
mksh 59c
