0ad 0.0.26_alpha
apache-rat-core 0.13
apache-rat-tasks 0.13
Apache-Reload 0.130.0
Apache-Session 1.940.0
Apache-SizeLimit 0.970.0
Apache-Test 1.430.0
apache-tools 2.4.57
Apache2-AuthenNTLM 0.20.0
apachetop 0.23.2
apcupsd 3.14.14
apel 1.36
apel 10.8_p20201106
apertium 3.8.3
apetag 1.12
apg 2.3.0b_p20150129
apgdiff 2.7.0
apheleia 3.2
apiguardian-api 1.1.2
apinger 0.6.1
apipkg 3.0.1
apispec 6.3.0
apitrace 9.0
apmd 3.2.2_p14
apng2gif 1.8
apngasm 3.1.10
apngdis 2.9
apngopt 1.4
apotheon 1.26v
App-CLI 0.520.0
App-Cmd 0.334.0
App-cpanminus 1.704.400
App-FatPacker 0.10.8
App-Nopaste 1.13.0
App-perlbrew 0.920.0
App-pwhich 1.160.0
App-SVN-Bisect 1.1
App-XML-DocBook-Builder 0.100.300
appar 0.1.8
apparmor 3.0.8
apparmor-profiles 3.0.8
apparmor-utils 3.0.8
AppConfig 1.710.0
appdirs 1.4.4
apply-default-acl 0.4.4
appmenu-gtk-module 0.7.6
appraisal 2.4.1
appres 1.0.6
appstream 0.15.6
appstream-glib 0.8.2
apptainer 1.1.8
apr 1.7.4
apr-util 1.6.3
apricots 0.2.7
APScheduler 3.10.1
apsw 3.41.2.0
apt-cacher-ng 3.7.4_p1
apulse 0.1.13
apvlv 0.4.0
apwal 0.4.5
aqbanking 6.5.3
AQtion 2.3.4
aqua 3.2
aquafont 2.7
aqualung 1.1
aquapfont 2.6
aquaria 1.1.3
aqute-bnd-annotation 6.3.1
arabeyes-fonts 2.0
arandr 0.1.11
aranym 1.1.0
aravis 0.8.5
arb 2.23.0
arborx 1.2
arc 3.2
arc 5.21p
arc-icon-theme 20161122
arc-theme 20221218
arcconf 4.09.00.25611
arch-chroot 28
archdiff 1.1.6
Archive-Any 0.94.600
Archive-Any-Lite 0.110.0
Archive-Extract 0.880.0
Archive-Tar-Stream 0.30.0
Archive-Tar-Wrapper 0.380.0
Archive-Zip 1.680.0
archivemount 0.9.1
arcload 0.50
ardour 7.4
arduino 1.8.19
arduino-builder 1.5.4
arduino-ctags 20161123
arduino-listserialportsc 1.4.0
arel-helpers 2.14.0
argcomplete 3.0.8
argh 0.28.1
argon2 20190702
argon2-cffi 21.3.0
argon2-cffi-bindings 21.2.0
argouml 0.34
argp-standalone 1.5.0
argparse 2.9
argparse-manpage 4.1
argtable 2.13
argus 3.0.8.3
argus-clients 3.0.8.4
argyllcms 2.3.1
aria2 1.36.0
aribb24 1.0.3
ario 1.6
arj 3.10.22
ark 23.04.0
arkpandora 2.04
arm-fdisk 3.0.6
armadillo 12.0.1
armagetronad 0.2.9.1.0
